_id,,x_mean,x_std,x_max,x_min,x_energy,x_iqr,y_mean,y_std,y_max,y_min,y_energy,y_iqr,z_mean,z_std,z_max,z_min,z_energy,z_iqr,sma,xy_corr,xz_corr,yz_corr
2,1673,11156.76,123.53277240710639,11380.0,10836.0,124488401.44,177.0,1158.8,73.17227492829396,1348.0,920.0,1348118.08,90.0,-12156.36,133.5647627878912,-11808.0,-12528.0,147794749.6,177.0,16541.684982679417,0.1492708128739895,0.7701597296588548,0.16591671154358414
2,1698,11156.88,128.85896134608566,11380.0,10836.0,124492409.92,193.0,1137.96,69.41602295165248,1300.0,920.0,1299723.36,100.0,-12157.04,135.86876615381988,-11808.0,-12476.0,147811897.28,181.0,16540.861297738807,0.3421941040676885,0.7811093732033759,0.29500618654471233
2,1723,11154.36,134.4103110522842,11532.0,10836.0,124437632.48,190.0,1088.32,171.82907175152346,1380.0,164.0,1213670.4,110.0,-12157.28,142.63424157153378,-11808.0,-12476.0,147819598.08,201.0,16536.81516258241,-0.006212001650346016,0.7583126578328047,0.13050358141953083
2,1748,10998.28,415.5060217871844,11532.0,9384.0,121133081.76,323.0,853.36,499.1908507320089,1380.0,-1032.0,974922.88,359.0,-12289.64,361.46015665420407,-11808.0,-13644.0,151164598.24,338.0,16530.673642897596,0.686036673298113,0.9359521350425027,0.6976726135488712
2,1773,10883.04,409.5759304796599,11532.0,9384.0,118606634.56,543.0,537.68,622.1924558536653,1380.0,-1032.0,672352.0,1157.0,-12397.88,355.2433020288456,-11824.0,-13644.0,153832364.32,480.0,16525.683692086244,0.5390445509477517,0.9108117695547241,0.5702329650367661
2,1798,10852.8,396.3016910171165,11532.0,9384.0,117938752.32,513.0,202.96,590.0559453016833,1380.0,-1032.0,385877.12,1055.0,-12430.52,341.30854786904786,-11824.0,-13644.0,154633154.08,431.0,16521.04306696456,0.37272817841948086,0.9048738278055374,0.4253850888587124
2,1823,10848.4,394.3788877091454,11476.0,9384.0,117841761.92,469.0,-4.08,368.8063103384487,1368.0,-1032.0,134674.56,449.0,-12442.36,332.6568140886177,-11824.0,-13644.0,154921876.32,383.0,16519.256618776388,0.08430208028489561,0.905713369287513,0.11994535157611178
2,1848,10985.36,259.16554204179374,11596.0,10156.0,120744629.44,297.0,25.92,313.35653299027007,952.0,-960.0,97882.24,455.0,-12338.6,213.8965104243455,-11776.0,-12960.0,152286344.16,229.0,16526.150557273635,0.3054853563059417,0.7262038612028062,0.34044253258530766
2,1873,11060.12,259.780454315647,11856.0,10156.0,122393065.44,269.0,279.84,503.2423100517948,1820.0,-420.0,329030.72,516.0,-12266.04,242.91196060724766,-11364.0,-12792.0,150514153.44,302.0,16529.42204074538,0.1966802524858453,0.7530952464542812,0.2940232877711628
2,1898,10992.16,329.13031160955273,11856.0,10156.0,120934824.96,400.0,741.28,653.0410923386291,2336.0,-120.0,971694.08,1228.0,-12320.56,309.10389610267504,-11364.0,-13384.0,151890788.48,417.0,16545.75359802256,-0.3667975744968798,0.6609807468061897,-0.3186890076618677
2,1923,10714.84,487.3939919965595,11856.0,9708.0,115042973.6,626.0,1015.0,571.5335740467282,2336.0,-116.0,1353609.12,941.0,-12540.88,425.8756227592656,-11364.0,-13392.0,157453227.52,468.0,16547.31210120472,-0.30013430092242493,0.8259612899874094,-0.26801976960183693
2,1948,10515.44,477.5279846894993,11856.0,9708.0,110800231.04,694.0,1248.12,376.9896518152153,2336.0,260.0,1698503.52,335.0,-12689.2,433.91438898667303,-11364.0,-13392.0,161202195.52,535.0,16543.01456281382,-0.10487055900111975,0.8620930448609034,-0.12730817417077622
2,1973,10225.2,339.9838379997003,11452.0,9692.0,104669148.16,438.0,1303.84,241.9322352739418,2336.0,888.0,1757944.64,269.0,-12931.36,301.741595248321,-12088.0,-13392.0,167310208.96,425.0,16544.16688881148,0.7607294226724238,0.7426541699229823,0.5636155255936633
2,1998,9999.28,233.31039194578088,10520.0,9328.0,100039489.92,361.0,1074.88,288.92448700641296,1588.0,-80.0,1238009.6,285.0,-13109.76,220.96524339326322,-12436.0,-13572.0,171914144.64,304.0,16528.27758155876,0.6550565255638768,0.8539310556662125,0.6263180287755181
2,2023,9923.0,221.286869894879,10404.0,9328.0,98514407.2,373.0,867.8,397.1622063865322,1428.0,-140.0,909237.28,630.0,-13174.04,200.7641925495284,-12700.0,-13572.0,173595233.12,285.0,16523.07581357989,0.6808074978095288,0.8479727552380896,0.6349471391109571
2,2048,9910.96,203.66946484214367,10264.0,9328.0,98268194.56,343.0,764.48,338.29580266537516,1304.0,-140.0,697729.28,442.0,-13186.84,185.80954298041024,-12700.0,-13572.0,173926929.12,266.0,16519.25827915725,0.4662159599479173,0.8205847075271766,0.4280598117755463
2,2073,9916.32,199.52321350476237,10264.0,9328.0,98372813.76,300.0,692.24,277.10527919470667,1188.0,-140.0,555215.68,280.0,-13187.28,177.6000545999413,-12768.0,-13572.0,173935580.16,256.0,16518.412875952272,0.5260285511999743,0.8413336619321617,0.4824616484385076
2,2098,9953.52,277.05801018937404,10328.0,8748.0,99148553.92,331.0,681.72,421.6490014265907,2220.0,-1144.0,640752.16,307.0,-13168.16,273.45831289038017,-12768.0,-14364.0,173474469.44,270.0,16530.172165384272,0.707015042865345,0.8145772112102042,0.6215221428796318
2,2123,9929.92,353.7625660401443,10484.0,8748.0,98727207.68,370.0,1004.16,717.4626266266839,3012.0,-1344.0,1517942.4,285.0,-13146.2,289.1276325063953,-12668.0,-14364.0,172905333.28,236.0,16526.371343836574,0.17534123924805048,0.6755182831143346,0.38724019493873163
2,2148,9944.48,438.88427134765027,10664.0,8748.0,99083375.68,504.0,1240.92,792.3653590498649,3012.0,-1344.0,2161446.88,887.0,-13115.24,345.74735681916894,-12424.0,-14364.0,172127866.08,388.0,16533.013222398888,0.26959298808900833,0.753721339962055,0.47173902890943986
2,2173,9941.44,441.92106612704373,10664.0,8748.0,99025570.56,545.0,1383.64,757.7256975497603,3012.0,-1344.0,2482866.4,677.0,-13107.28,349.112296482841,-12424.0,-14364.0,171921449.6,415.0,16534.75249226917,0.29560973426235554,0.7634458668247973,0.4742170179349901
2,2198,9968.04,387.41932806401104,10664.0,8768.0,99510414.24,384.0,1533.52,549.8640507829471,3012.0,-1344.0,2651010.56,426.0,-13067.84,260.50637247672097,-12424.0,-13812.0,170835627.2,273.0,16522.01211835623,0.14279881594749597,0.7687868879755504,0.31513623394368334
2,2223,10035.44,291.5505160934151,10664.0,9076.0,100794207.68,282.0,1407.32,307.9814004616199,2912.0,956.0,2074453.6,289.0,-13049.28,217.02032116359788,-12424.0,-13588.0,170330335.36,225.0,16528.519586248636,0.1584906196376695,0.8610506636450642,0.34715407389452035
2,2248,10030.16,155.25844989120475,10352.0,9672.0,100627973.76,250.0,1250.44,145.6292733365229,1616.0,932.0,1584596.0,195.0,-13073.6,129.6559549987436,-12764.0,-13348.0,170935659.52,175.0,16527.08423286193,-0.10563181905305981,0.802297740022272,0.015992394552462198
2,2273,10072.2,140.49422145632482,10392.0,9764.0,101468754.08,169.0,1165.4,117.40407646975463,1428.0,932.0,1371803.04,157.0,-13046.04,119.30776093009669,-12824.0,-13348.0,170213251.68,181.0,16524.21259880401,-0.08479055813715083,0.7330223244368326,0.03898538508162964
2,2298,10101.4,154.43804942792767,10392.0,9708.0,102061894.56,218.0,1005.88,394.7565233498646,1588.0,-556.0,1166068.96,175.0,-13033.0,136.06460141251978,-12800.0,-13368.0,169877417.44,218.0,16525.749339219852,0.13285105261927188,0.7611653733771914,0.18213505807889185
2,2323,10277.6,333.6328351449517,11312.0,9708.0,105739259.52,210.0,924.6,514.213138217171,1968.0,-556.0,1116656.16,302.0,-12889.0,310.6228997652435,-11896.0,-13368.0,166221842.72,214.0,16524.88623977059,0.49450432027681074,0.9433525209552706,0.5183599578375003
2,2348,10495.88,487.0258384035852,11384.0,9708.0,110398319.2,832.0,1045.84,602.1001413403086,1968.0,-556.0,1452680.64,702.0,-12687.2,455.16989834965347,-11696.0,-13368.0,161170151.68,777.0,16523.183228687896,0.7002655845925352,0.9742525259061489,0.7113011265353457
2,2373,10537.68,465.27973295532394,11384.0,9708.0,111257020.16,764.0,1050.52,606.1315402125215,1968.0,-556.0,1467313.76,800.0,-12655.36,440.36008039335286,-11696.0,-13368.0,160350114.56,748.0,16524.79163483524,0.7459576755440653,0.9724360957018428,0.7426894067639068
2,2398,10608.48,418.2740023119873,11384.0,10036.0,112713051.52,660.0,1201.84,458.1337354921138,1968.0,32.0,1652207.04,520.0,-12597.64,399.6548389586121,-11696.0,-13200.0,158858660.32,687.0,16529.356841123925,0.7289789514298688,0.973690401585995,0.7341389141557892
2,2423,10626.4,431.0194633398416,11780.0,10036.0,113104296.96,709.0,1218.04,310.32468887481525,1752.0,480.0,1578959.84,400.0,-12586.48,406.2612106922538,-11520.0,-13200.0,158582876.48,567.0,16530.595792526827,0.2522759577917981,0.9683201598899064,0.27135513530416994
2,2448,10713.2,520.2111459432824,11924.0,10036.0,115040567.68,809.0,987.56,282.12348897300734,1480.0,116.0,1054072.48,438.0,-12527.12,457.9284333834478,-11520.0,-13200.0,157136336.96,696.0,16529.344043238114,-0.706890272502424,0.9503192356923682,-0.6977021365322764
2,2473,10771.68,530.6918465169613,11924.0,9868.0,116307907.52,879.0,1071.64,368.86858189207413,1928.0,116.0,1283115.68,518.0,-12455.52,477.73041888844216,-11436.0,-13260.0,155365922.56,776.0,16520.984366756074,-0.5869490866704297,0.9419562888131714,-0.5264592445517711
2,2498,10695.08,599.0167984693506,11924.0,9676.0,114739969.12,1030.0,1060.52,376.51357790049695,1928.0,116.0,1265047.52,596.0,-12504.56,525.3447222269657,-11436.0,-13500.0,156637248.0,883.0,16511.429647032604,-0.5171348450461537,0.9494483107774614,-0.45383975726383174
2,2523,10736.52,574.922576781357,11924.0,9676.0,115600092.32,1001.0,1323.56,568.2704989703388,2588.0,116.0,2071513.12,707.0,-12448.36,510.3398257806175,-11436.0,-13500.0,155219508.96,852.0,16519.006278616947,-0.061423137066903395,0.9501121962315062,0.02280596210519684
