data_id,_id,x,y,z
457,1,13380.0,-620.0,-9460.0
458,1,13680.0,-908.0,-9524.0
459,1,13888.0,-992.0,-9564.0
460,1,13604.0,-840.0,-9388.0
461,1,13488.0,-736.0,-9404.0
462,1,13608.0,-632.0,-9392.0
463,1,13628.0,-700.0,-9464.0
464,1,13504.0,-680.0,-9340.0
465,1,13572.0,-472.0,-9484.0
466,1,13588.0,-424.0,-9600.0
467,1,13620.0,-428.0,-9616.0
468,1,13568.0,-476.0,-9656.0
469,1,13528.0,-440.0,-9616.0
470,1,13484.0,-312.0,-9444.0
471,1,13704.0,-220.0,-9380.0
472,1,13592.0,-292.0,-9460.0
473,1,13692.0,-388.0,-9464.0
474,1,13796.0,-372.0,-9432.0
475,1,13680.0,-360.0,-9632.0
476,1,13340.0,-484.0,-9644.0
477,1,13276.0,-588.0,-9684.0
478,1,13360.0,-576.0,-9680.0
479,1,13464.0,-468.0,-9768.0
480,1,13488.0,-428.0,-9796.0
481,1,13308.0,-672.0,-9800.0
482,1,13332.0,-712.0,-9836.0
483,1,13392.0,-532.0,-9708.0
484,1,13412.0,-376.0,-9760.0
485,1,13388.0,-180.0,-9744.0
486,1,13308.0,-132.0,-9820.0
487,1,13276.0,-236.0,-9736.0
488,1,13240.0,-308.0,-9888.0
489,1,13264.0,-392.0,-9976.0
490,1,13028.0,-496.0,-10088.0
491,1,13100.0,-384.0,-10020.0
492,1,13264.0,-208.0,-9944.0
493,1,13548.0,-300.0,-9608.0
494,1,13704.0,-188.0,-9416.0
495,1,13496.0,-120.0,-9632.0
496,1,13416.0,-140.0,-9904.0
497,1,13292.0,-188.0,-9948.0
498,1,13232.0,-204.0,-9988.0
499,1,13196.0,-96.0,-9720.0
500,1,13328.0,-400.0,-10052.0
501,1,13492.0,-380.0,-9916.0
502,1,13468.0,-260.0,-9796.0
503,1,13396.0,-216.0,-9776.0
504,1,13364.0,-280.0,-9876.0
505,1,13312.0,-216.0,-9792.0
506,1,13292.0,-208.0,-9836.0
507,1,13396.0,-368.0,-9872.0
508,1,13364.0,-416.0,-10000.0
509,1,13356.0,-328.0,-9892.0
510,1,13352.0,-248.0,-9728.0
511,1,13188.0,-320.0,-9992.0
512,1,13272.0,-308.0,-9808.0
513,1,13460.0,-352.0,-9852.0
514,1,13252.0,-504.0,-9932.0
515,1,13304.0,-336.0,-9768.0
516,1,13328.0,-424.0,-9980.0
517,1,13220.0,-504.0,-10040.0
518,1,13192.0,-456.0,-9876.0
519,1,13180.0,-444.0,-9956.0
520,1,13248.0,-356.0,-9928.0
521,1,13364.0,-340.0,-9940.0
522,1,13296.0,-300.0,-10008.0
523,1,13300.0,-404.0,-9928.0
524,1,13280.0,-368.0,-9972.0
525,1,13300.0,-340.0,-9980.0
526,1,13216.0,-268.0,-10096.0
527,1,13260.0,-220.0,-10160.0
528,1,13232.0,-304.0,-10012.0
529,1,13376.0,-436.0,-9880.0
530,1,13216.0,-464.0,-10064.0
531,1,13112.0,-504.0,-10008.0
532,1,13188.0,-420.0,-10008.0
533,1,13032.0,-320.0,-10088.0
534,1,13204.0,-296.0,-10000.0
535,1,13236.0,-244.0,-9940.0
536,1,13336.0,-288.0,-9936.0
537,1,13440.0,-340.0,-9800.0
538,1,13420.0,-376.0,-9812.0
539,1,13352.0,-412.0,-9872.0
540,1,13088.0,-292.0,-9660.0
541,1,13436.0,-380.0,-9656.0
542,1,13492.0,-384.0,-9936.0
543,1,13220.0,-276.0,-10008.0
544,1,13276.0,-208.0,-9924.0
545,1,12668.0,-248.0,-10424.0
546,1,13268.0,-236.0,-9952.0
547,1,13324.0,-304.0,-9916.0
548,1,13340.0,-280.0,-9908.0
549,1,13292.0,-308.0,-9852.0
550,1,13168.0,-296.0,-10116.0
551,1,13328.0,-384.0,-9996.0
552,1,13524.0,-284.0,-9600.0
553,1,13440.0,-296.0,-9692.0
554,1,13136.0,-300.0,-9772.0
555,1,13156.0,-172.0,-9944.0
556,1,13408.0,-144.0,-9868.0
557,1,13388.0,-112.0,-9944.0
558,1,13252.0,-208.0,-9948.0
559,1,13100.0,-260.0,-9964.0
560,1,13328.0,-212.0,-9924.0
561,1,13380.0,-352.0,-9916.0
562,1,13328.0,-420.0,-9948.0
563,1,13344.0,-408.0,-9868.0
564,1,13276.0,-492.0,-9892.0
565,1,13196.0,-440.0,-9868.0
566,1,13340.0,-588.0,-9920.0
567,1,13420.0,-552.0,-9756.0
568,1,13316.0,-604.0,-9808.0
569,1,13304.0,-456.0,-9900.0
570,1,13324.0,-420.0,-9820.0
571,1,13332.0,-488.0,-9828.0
572,1,13468.0,-456.0,-9808.0
573,1,13524.0,-520.0,-9744.0
574,1,13432.0,-476.0,-9744.0
575,1,13448.0,-404.0,-9804.0
576,1,13504.0,-484.0,-9736.0
577,1,13388.0,-368.0,-9892.0
578,1,13296.0,-376.0,-9756.0
579,1,13320.0,-456.0,-9800.0
580,1,13660.0,-480.0,-9800.0
581,1,13428.0,-516.0,-9856.0
582,1,13208.0,-428.0,-9960.0
583,1,13228.0,-400.0,-9892.0
584,1,13388.0,-388.0,-9832.0
585,1,13324.0,-476.0,-9904.0
586,1,13428.0,-376.0,-9840.0
587,1,13256.0,-396.0,-9916.0
588,1,13248.0,-300.0,-9904.0
589,1,13372.0,-192.0,-9860.0
590,1,13204.0,-244.0,-9932.0
591,1,13284.0,-296.0,-9968.0
592,1,13500.0,-264.0,-9876.0
593,1,13244.0,-324.0,-9808.0
594,1,13348.0,-284.0,-9820.0
595,1,13304.0,-476.0,-9836.0
596,1,13232.0,-520.0,-9852.0
597,1,13252.0,-404.0,-9984.0
598,1,13364.0,-400.0,-9844.0
599,1,13328.0,-188.0,-9824.0
600,1,13440.0,-272.0,-9944.0
601,1,13308.0,-368.0,-9880.0
602,1,13140.0,-276.0,-10048.0
603,1,13152.0,-172.0,-9980.0
604,1,13344.0,-284.0,-9940.0
605,1,13436.0,-280.0,-9872.0
606,1,13400.0,-320.0,-9796.0
607,1,13340.0,-448.0,-9848.0
608,1,13364.0,-432.0,-9880.0
609,1,13312.0,-384.0,-9924.0
610,1,13276.0,-432.0,-9916.0
611,1,13308.0,-452.0,-9840.0
612,1,13288.0,-536.0,-9952.0
613,1,13408.0,-484.0,-9904.0
614,1,13312.0,-532.0,-9832.0
615,1,13404.0,-448.0,-9916.0
